# 얼굴 문자 — 글자로 그린 얼굴. `얼굴문자<TAB>그것을 부르는 낱말들(쉼표)` 꼴이다.
#
# 공개 원천이 없는 갈래이므로 손으로 갖춘다. 낱말은 어절 하나로 치는 것만 적는다 —
# 후보 바는 어절 단위로 물어보고, 사전 표제어가 아닌 낱말에 달린 것은 실리지 않는다.
(^_^)	웃음,미소,기쁨,행복
(^▽^)	기쁨,신남,즐거움
(•ᴗ•)	미소,수줍음
(>_<)	아픔,괴로움,찡그림
(ㅠ_ㅠ)	울음,눈물,슬픔
(T_T)	울음,눈물
(-_-)	무표정,심드렁,무심
(・_・;)	당황,난감,어색
(°□°)	놀람,경악
¯\_(ツ)_/¯	몰라,글쎄,모름
orz	절망,좌절,사과
(_ _)	사과,미안,인사
(*^^*)	부끄러움,쑥스러움
(≧▽≦)	환호,감격
(¬_¬)	의심,불만
(=_=)	피곤,졸림
(^_^)/	인사,안녕,반가움
\(^o^)/	만세,환호,축하
(--)b	좋아요,최고,엄지
(o_o)	놀람,멍함
(z_z)	졸음,수면
(*_*)	감탄,반짝
(^3^)	뽀뽀,애정
(>_<)/	응원,파이팅
(u_u)	미안,아쉬움
